waterlevel,outflow
-15.936758,2.1343105
-29.152979,1.1732566
36.18955,34.359108
37.492188,36.837955
-48.05883,2.808965
-8.941458,2.1210725
15.307793,14.710268
-34.706264,2.6141844
1.3891543,3.7401717
-44.38376,3.7316914
7.013502,7.627659
22.762749,22.752428
-16.746536,4.170202
-14.577471,4.0672626
34.51576,31.873068
-47.010075,10.623656
36.97512,31.836021
-40.68611,4.9593697
-4.472011,4.4515986
26.533634,22.276318
-42.797684,-4.3873828e-05
25.3741,20.503801
-31.109554,3.8583448
27.31177,19.365053
-3.263862,4.883763
-1.8182765,11.097158
-40.71966,7.461708
-50.013245,1.4769347
-17.411772,2.719164
3.5881937,10.926901
7.08548,8.348712
46.282368,52.78193
14.612289,13.35734
-33.318005,3.3168895
-37.912163,5.3976893
-51.20694,0.13042983
-6.132596,6.1925983
21.261183,17.088488
-40.31953,0.79950804
-14.541532,2.824792
32.55976,28.621233
13.393433,17.04639
44.209885,55.384373
-1.1426777,4.079367
-12.766861,8.270398
34.054504,31.323551
39.2235,39.15906
1.9744967,8.08728
29.621756,24.111343
-23.66963,2.4773548
-9.011802,6.566065
-55.94057,6.038089
-35.7086,4.6927395
9.510205,10.830046
